algorithm,visited_qty,generated_qty,path_size,path,start,target,cost_id,heuristic_id,cost,order,pharmacies
a_star,112,50,24,[23 20][23 19][22 19][22 18][21 18][21 17][20 17][19 17][18 17][17 17][16 17][15 17][14 17][13 17][12 17][11 17][10 17][9 17][8 17][7 17][6 17][5 17][4 17][3 17]],[3 17], [23 20],0,0,230,[0 1 2 3],[]
greedy_search,24,70,24,[23 20][23 19][23 18][23 17][22 17][21 17][20 17][19 17][18 17][17 17][16 17][15 17][14 17][13 17][12 17][11 17][10 17][9 17][8 17][7 17][6 17][5 17][4 17][3 17]],[3 17], [23 20],0,1,230,[0 1 2 3],[]
a_star,84,48,24,[23 20][23 19][23 18][23 17][22 17][21 17][20 17][19 17][18 17][17 17][16 17][15 17][14 17][13 17][12 17][11 17][10 17][9 17][8 17][7 17][6 17][5 17][4 17][3 17]],[3 17], [23 20],0,1,230,[0 1 2 3],[]
greedy_search,24,67,24,[23 20][23 19][22 19][22 18][21 18][21 17][20 17][19 17][18 17][17 17][16 17][15 17][14 17][13 17][12 17][11 17][10 17][9 17][8 17][7 17][6 17][5 17][4 17][3 17]],[3 17], [23 20],1,0,230,[0 1 2 3],[]
a_star,295,52,24,[23 20][23 19][22 19][22 18][21 18][21 17][20 17][19 17][18 17][17 17][16 17][15 17][14 17][13 17][12 17][11 17][10 17][9 17][8 17][7 17][6 17][5 17][4 17][3 17]],[3 17], [23 20],1,0,345,[0 1 2 3],[]
greedy_search,24,70,24,[23 20][23 19][23 18][23 17][22 17][21 17][20 17][19 17][18 17][17 17][16 17][15 17][14 17][13 17][12 17][11 17][10 17][9 17][8 17][7 17][6 17][5 17][4 17][3 17]],[3 17], [23 20],1,1,230,[0 1 2 3],[]
a_star,205,50,24,[23 20][23 19][23 18][23 17][22 17][21 17][20 17][19 17][18 17][17 17][16 17][15 17][14 17][13 17][12 17][11 17][10 17][9 17][8 17][7 17][6 17][5 17][4 17][3 17]],[3 17], [23 20],1,1,345,[0 1 2 3],[]
greedy_search,24,67,24,[23 20][23 19][22 19][22 18][21 18][21 17][20 17][19 17][18 17][17 17][16 17][15 17][14 17][13 17][12 17][11 17][10 17][9 17][8 17][7 17][6 17][5 17][4 17][3 17]],[3 17], [23 20],2,0,230,[0 1 2 3],[]
a_star,205,54,24,[23 20][23 19][22 19][22 18][21 18][21 17][20 17][19 17][18 17][17 17][16 17][15 17][14 17][13 17][12 17][11 17][10 17][9 17][8 17][7 17][6 17][5 17][4 17][3 17]],[3 17], [23 20],2,0,285,[0 1 2 3],[]
greedy_search,24,70,24,[23 20][23 19][23 18][23 17][22 17][21 17][20 17][19 17][18 17][17 17][16 17][15 17][14 17][13 17][12 17][11 17][10 17][9 17][8 17][7 17][6 17][5 17][4 17][3 17]],[3 17], [23 20],2,1,230,[0 1 2 3],[]
a_star,133,52,24,[23 20][23 19][23 18][23 17][22 17][21 17][20 17][19 17][18 17][17 17][16 17][15 17][14 17][13 17][12 17][11 17][10 17][9 17][8 17][7 17][6 17][5 17][4 17][3 17]],[3 17], [23 20],2,1,285,[0 1 2 3],[]
greedy_search,24,67,24,[23 20][23 19][22 19][22 18][21 18][21 17][20 17][19 17][18 17][17 17][16 17][15 17][14 17][13 17][12 17][11 17][10 17][9 17][8 17][7 17][6 17][5 17][4 17][3 17]],[3 17], [23 20],3,0,230,[0 1 2 3],[]
a_star,76,47,24,[23 20][23 19][22 19][22 18][21 18][21 17][20 17][19 17][18 17][17 17][16 17][15 17][14 17][13 17][12 17][11 17][10 17][9 17][8 17][7 17][6 17][5 17][4 17][3 17]],[3 17], [23 20],3,0,218,[0 1 2 3],[]
greedy_search,24,70,24,[23 20][23 19][23 18][23 17][22 17][21 17][20 17][19 17][18 17][17 17][16 17][15 17][14 17][13 17][12 17][11 17][10 17][9 17][8 17][7 17][6 17][5 17][4 17][3 17]],[3 17], [23 20],3,1,230,[0 1 2 3],[]
a_star,57,52,24,[23 20][23 19][23 18][23 17][22 17][21 17][20 17][19 17][18 17][17 17][16 17][15 17][14 17][13 17][12 17][11 17][10 17][9 17][8 17][7 17][6 17][5 17][4 17][3 17]],[3 17], [23 20],3,1,218,[0 1 2 3],[]
greedy_search,27,60,27,[25 15][25 16][24 16][24 17][23 17][23 18][22 18][22 19][21 19][21 20][20 20][20 21][19 21][19 22][18 22][18 23][17 23][17 24][16 24][16 25][15 25][15 26][14 26][13 26][12 26][11 26][10 26]],[10 26], [25 15],0,0,260,[0 1 2 3],[]
a_star,253,55,27,[25 15][25 16][24 16][24 17][23 17][23 18][22 18][22 19][21 19][21 20][20 20][20 21][19 21][19 22][18 22][18 23][17 23][17 24][16 24][16 25][15 25][15 26][14 26][13 26][12 26][11 26][10 26]],[10 26], [25 15],0,0,260,[0 1 2 3],[]
greedy_search,27,79,27,[25 15][25 16][25 17][25 18][25 19][25 20][25 21][25 22][25 23][25 24][25 25][25 26][24 26][23 26][22 26][21 26][20 26][19 26][18 26][17 26][16 26][15 26][14 26][13 26][12 26][11 26][10 26]],[10 26], [25 15],0,1,260,[0 1 2 3],[]
a_star,192,54,27,[25 15][25 16][25 17][25 18][25 19][25 20][25 21][25 22][25 23][25 24][25 25][25 26][24 26][23 26][22 26][21 26][20 26][19 26][18 26][17 26][16 26][15 26][14 26][13 26][12 26][11 26][10 26]],[10 26], [25 15],0,1,260,[0 1 2 3],[]
greedy_search,27,60,27,[25 15][25 16][24 16][24 17][23 17][23 18][22 18][22 19][21 19][21 20][20 20][20 21][19 21][19 22][18 22][18 23][17 23][17 24][16 24][16 25][15 25][15 26][14 26][13 26][12 26][11 26][10 26]],[10 26], [25 15],1,0,315,[0 1 2 3],[]
a_star,372,57,27,[25 15][24 15][24 16][23 16][22 16][22 17][21 17][20 17][19 17][19 18][18 18][17 18][17 19][16 19][15 19][15 20][14 20][13 20][13 21][12 21][11 21][11 22][10 22][10 23][10 24][10 25][10 26]],[10 26], [25 15],1,0,335,[0 1 2 3],[]
greedy_search,27,79,27,[25 15][25 16][25 17][25 18][25 19][25 20][25 21][25 22][25 23][25 24][25 25][25 26][24 26][23 26][22 26][21 26][20 26][19 26][18 26][17 26][16 26][15 26][14 26][13 26][12 26][11 26][10 26]],[10 26], [25 15],1,1,315,[0 1 2 3],[]
a_star,276,60,27,[25 15][24 15][23 15][22 15][21 15][20 15][19 15][18 15][17 15][16 15][15 15][14 15][13 15][12 15][11 15][10 15][10 16][10 17][10 18][10 19][10 20][10 21][10 22][10 23][10 24][10 25][10 26]],[10 26], [25 15],1,1,335,[0 1 2 3],[]
greedy_search,27,60,27,[25 15][25 16][24 16][24 17][23 17][23 18][22 18][22 19][21 19][21 20][20 20][20 21][19 21][19 22][18 22][18 23][17 23][17 24][16 24][16 25][15 25][15 26][14 26][13 26][12 26][11 26][10 26]],[10 26], [25 15],2,0,291,[0 1 2 3],[]
a_star,264,53,27,[25 15][24 15][24 16][23 16][22 16][22 17][21 17][21 18][20 18][19 18][18 18][18 19][18 20][17 20][16 20][15 20][14 20][14 21][14 22][14 23][14 24][13 24][12 24][11 24][10 24][10 25][10 26]],[10 26], [25 15],2,0,281,[0 1 2 3],[]
greedy_search,27,79,27,[25 15][25 16][25 17][25 18][25 19][25 20][25 21][25 22][25 23][25 24][25 25][25 26][24 26][23 26][22 26][21 26][20 26][19 26][18 26][17 26][16 26][15 26][14 26][13 26][12 26][11 26][10 26]],[10 26], [25 15],2,1,286,[0 1 2 3],[]
a_star,177,72,27,[25 15][24 15][23 15][22 15][21 15][20 15][19 15][18 15][17 15][16 15][15 15][14 15][13 15][12 15][12 16][12 17][11 17][11 18][11 19][11 20][11 21][11 22][10 22][10 23][10 24][10 25][10 26]],[10 26], [25 15],2,1,293,[0 1 2 3],[]
greedy_search,27,60,27,[25 15][25 16][24 16][24 17][23 17][23 18][22 18][22 19][21 19][21 20][20 20][20 21][19 21][19 22][18 22][18 23][17 23][17 24][16 24][16 25][15 25][15 26][14 26][13 26][12 26][11 26][10 26]],[10 26], [25 15],3,0,250,[0 1 2 3],[]
a_star,155,54,27,[25 15][25 16][24 16][24 17][23 17][22 17][21 17][20 17][20 18][20 19][20 20][20 21][20 22][20 23][20 24][19 24][18 24][17 24][16 24][15 24][14 24][13 24][12 24][11 24][10 24][10 25][10 26]],[10 26], [25 15],3,0,233,[0 1 2 3],[]
